participant_no,sentence_type,sentence_type_code,sentence_code,rating
1,main_pre_verb,1,7a,5
1,relative_post_verb,4,7d,5
1,main_post_verb,2,8b,5
1,relative_pre_verb,3,8c,5
1,main_pre_verb,1,9a,5
1,relative_post_verb,4,9d,4
1,main_post_verb,2,10b,2
1,relative_pre_verb,3,10c,5
1,main_pre_verb,1,11a,4
1,relative_post_verb,4,11d,5
1,main_post_verb,2,12b,4
1,relative_pre_verb,3,12c,5
2,main_pre_verb,1,7a,5
2,relative_post_verb,4,7d,NA
2,main_post_verb,2,8b,4
2,relative_pre_verb,3,8c,NA
2,main_pre_verb,1,9a,5
2,relative_post_verb,4,9d,5
2,main_post_verb,2,10b,5
2,relative_pre_verb,3,10c,1
2,main_pre_verb,1,11a,NA
2,relative_post_verb,4,11d,1
2,main_post_verb,2,12b,NA
2,relative_pre_verb,3,12c,NA
3,main_pre_verb,1,7a,5
3,relative_post_verb,4,7d,5
3,main_post_verb,2,8b,5
3,relative_pre_verb,3,8c,5
3,main_pre_verb,1,9a,5
3,relative_post_verb,4,9d,2
3,main_post_verb,2,10b,3
3,relative_pre_verb,3,10c,3
3,main_pre_verb,1,11a,5
3,relative_post_verb,4,11d,3
3,main_post_verb,2,12b,2
3,relative_pre_verb,3,12c,4
4,main_pre_verb,1,7a,1
4,relative_post_verb,4,7d,1
4,main_post_verb,2,8b,1
4,relative_pre_verb,3,8c,4
4,main_pre_verb,1,9a,1
4,relative_post_verb,4,9d,4
4,main_post_verb,2,10b,2
4,relative_pre_verb,3,10c,4
4,main_pre_verb,1,11a,2
4,relative_post_verb,4,11d,5
4,main_post_verb,2,12b,4
4,relative_pre_verb,3,12c,4
5,main_pre_verb,1,7a,3
5,relative_post_verb,4,7d,5
5,main_post_verb,2,8b,3
5,relative_pre_verb,3,8c,5
5,main_pre_verb,1,9a,4
5,relative_post_verb,4,9d,5
5,main_post_verb,2,10b,3
5,relative_pre_verb,3,10c,4
5,main_pre_verb,1,11a,3
5,relative_post_verb,4,11d,3
5,main_post_verb,2,12b,3
5,relative_pre_verb,3,12c,3
6,main_post_verb,2,7b,1
6,relative_pre_verb,3,7c,4
6,main_pre_verb,1,8a,5
6,relative_post_verb,4,8d,2
6,main_post_verb,2,9b,1
6,relative_pre_verb,3,9c,5
6,main_pre_verb,1,10a,5
6,relative_post_verb,4,10d,5
6,main_post_verb,2,11b,1
6,relative_pre_verb,3,11c,4
6,main_pre_verb,1,12a,5
6,relative_post_verb,4,12d,1
7,main_post_verb,2,7b,3
7,relative_pre_verb,3,7c,5
7,main_pre_verb,1,8a,4
7,relative_post_verb,4,8d,2
7,main_post_verb,2,9b,2
7,relative_pre_verb,3,9c,5
7,main_pre_verb,1,10a,4
7,relative_post_verb,4,10d,4
7,main_post_verb,2,11b,3
7,relative_pre_verb,3,11c,5
7,main_pre_verb,1,12a,3
7,relative_post_verb,4,12d,4
8,main_post_verb,2,7b,1
8,relative_pre_verb,3,7c,4
8,main_pre_verb,1,8a,3
8,relative_post_verb,4,8d,3
8,main_post_verb,2,9b,4
8,relative_pre_verb,3,9c,4
8,main_pre_verb,1,10a,1
8,relative_post_verb,4,10d,4
8,main_post_verb,2,11b,2
8,relative_pre_verb,3,11c,4
8,main_pre_verb,1,12a,3
8,relative_post_verb,4,12d,5
9,main_post_verb,2,7b,2
9,relative_pre_verb,3,7c,3
9,main_pre_verb,1,8a,4
9,relative_post_verb,4,8d,4
9,main_post_verb,2,9b,2
9,relative_pre_verb,3,9c,3
9,main_pre_verb,1,10a,4
9,relative_post_verb,4,10d,4
9,main_post_verb,2,11b,3
9,relative_pre_verb,3,11c,4
9,main_pre_verb,1,12a,5
9,relative_post_verb,4,12d,4
